Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,7_L,28,761.7837,559.7172,761.80426,559.7051,-0.020568848,0.012145996,0.02388729191464389
Camera L,7_L,29,831.5587,534.5446,831.552,534.4652,0.006713867,0.07940674,0.07969006272477343
Camera L,7_L,30,898.8319,510.25806,898.80084,510.26163,0.031066895,-0.0035705566,0.03127140563741455
Camera L,7_L,31,963.8484,486.76974,963.81055,486.7767,0.037841797,-0.006958008,0.03847616747348377
Camera L,7_L,32,1026.8269,464.00244,1026.8375,464.05002,-0.010620117,-0.047576904,0.04874780724863669
Camera L,7_L,33,1087.9528,441.8917,1088.1002,441.7984,-0.14746094,0.09329224,0.17449403842963127
Camera L,7_L,34,1147.3748,420.3868,1147.419,420.39914,-0.044189453,-0.012329102,0.045877167663501334
Camera L,7_L,35,1205.2063,399.45,1205.1782,399.4373,0.028076172,0.01272583,0.030825609131562216
Camera L,7_L,36,714.0273,658.1424,713.978,658.14014,0.04925537,0.0022583008,0.049307114131752
Camera L,7_L,37,785.5152,630.8371,785.50824,630.8393,0.006958008,-0.0021972656,0.00729670123724534
Camera L,7_L,38,854.3153,604.5847,854.35675,604.6041,-0.04144287,-0.01940918,0.04576273397246762
Camera L,7_L,39,920.67786,579.2908,920.6668,579.2755,0.011047363,0.015258789,0.01883812302544445
Camera L,7_L,40,984.84015,554.86365,984.7934,554.8462,0.04675293,0.017456055,0.04990541332979129
Camera L,7_L,41,1047.0138,531.21985,1047.1149,531.1724,-0.10107422,0.047424316,0.11164704869598195
Camera L,7_L,42,1107.378,508.2871,1107.3606,508.28738,0.017456055,-0.0002746582,0.017458215326359525
Camera L,7_L,43,1166.0771,486.00595,1166.1013,486.0304,-0.024169922,-0.02444458,0.034376192614067505
Camera L,7_L,44,1223.2206,464.32962,1223.2285,464.36258,-0.00793457,-0.032958984,0.03390062030517289
Camera L,7_L,45,738.2881,729.36285,738.231,729.3663,0.05706787,-0.0034179688,0.0571701357489104
Camera L,7_L,46,808.7911,700.93164,808.7328,700.9078,0.058288574,0.023864746,0.06298479174033905
Camera L,7_L,47,876.6787,673.61835,876.64624,673.6146,0.032470703,0.0037231445,0.03268345707896369
Camera L,7_L,48,942.1904,647.3303,942.1639,647.3655,0.026550293,-0.03515625,0.044055419312372404
Camera L,7_L,49,1005.5532,621.97406,1005.5043,622.0009,0.048950195,-0.026855469,0.055833124781926036
Camera L,7_L,50,1066.9702,597.4617,1066.9183,597.472,0.051879883,-0.010314941,0.05289537084521767
Camera L,7_L,51,1126.6136,573.7144,1126.6028,573.6175,0.010864258,0.09692383,0.09753081849457129
Camera L,7_L,52,1184.6223,550.6653,1184.5786,550.69244,0.043701172,-0.027160645,0.0514537951428387
Camera L,7_L,53,1241.1024,528.25946,1241.0747,528.2891,0.027709961,-0.029663086,0.04059237123516297
Camera L,2_L,0,1466.0641,336.9864,1466.1311,337.11362,-0.0670166,-0.12722778,0.14379893498829627
Camera L,2_L,1,1481.8469,372.33267,1481.9429,372.40445,-0.095947266,-0.071777344,0.11982430828809308
Camera L,2_L,2,1498.5436,409.63278,1498.4832,409.5582,0.060424805,0.07458496,0.09598996520246751
Camera L,2_L,3,1516.2346,449.06268,1516.294,449.1972,-0.059326172,-0.13452148,0.14702253034074542
Camera L,2_L,4,1535.0067,490.8197,1534.8988,490.80032,0.107910156,0.019378662,0.10963637337603219
Camera L,2_L,5,1554.9526,535.1248,1554.9395,535.1872,0.013183594,-0.06237793,0.06375588801251013
Camera L,2_L,6,1576.1692,582.22437,1576.1807,582.2977,-0.011474609,-0.07336426,0.07425618482448318
Camera L,2_L,7,1598.7549,632.3906,1598.7986,632.4037,-0.043701172,-0.013061523,0.045611356236760305
Camera L,2_L,8,1622.8055,685.9217,1622.8363,685.8886,-0.030761719,0.033081055,0.04517343820976512
Camera L,2_L,9,1411.8706,337.84326,1411.8214,337.80197,0.049194336,0.041290283,0.06422593070813276
Camera L,2_L,10,1426.1703,373.1928,1426.241,373.1869,-0.07067871,0.00592041,0.0709262394054902
Camera L,2_L,11,1441.3063,410.49103,1441.3224,410.49576,-0.016113281,-0.0047302246,0.01679323844577747
Camera L,2_L,12,1457.3553,449.91507,1457.3138,449.80267,0.041503906,0.11239624,0.11981439418046617
Camera L,2_L,13,1474.4021,491.66473,1474.3856,491.59293,0.016479492,0.07180786,0.07367457235218337
Camera L,2_L,14,1492.5375,535.96515,1492.5667,535.93243,-0.029174805,0.032714844,0.04383412175623787
Camera L,2_L,15,1511.859,583.0693,1511.838,583.15247,0.020996094,-0.08319092,0.08579956168444033
Camera L,2_L,16,1532.468,633.2594,1532.4454,633.25446,0.022583008,0.0049438477,0.02311782583868225
Camera L,2_L,17,1554.4669,686.848,1554.4635,686.7916,0.0034179688,0.056396484,0.056499964249861215
Camera L,2_L,18,1357.6951,338.72253,1357.6477,338.7666,0.04736328,-0.044067383,0.06469323487591282
Camera L,2_L,19,1370.5059,374.07498,1370.5165,374.06882,-0.010620117,0.006164551,0.012279599969495868
Camera L,2_L,20,1384.0709,411.36957,1384.0607,411.31006,0.010253906,0.059509277,0.0603862292526959
Camera L,2_L,21,1398.4619,450.78403,1398.4579,450.71024,0.0040283203,0.073791504,0.07390137626111039
Camera L,2_L,22,1413.7589,492.51968,1413.6604,492.45285,0.09851074,0.066833496,0.11904235601854236
Camera L,2_L,23,1430.0491,536.8046,1430.0723,536.75494,-0.02319336,0.049682617,0.054829685113974264
Camera L,2_L,24,1447.4274,583.89703,1447.4575,583.89124,-0.030151367,0.00579834,0.030703838330395607
Camera L,2_L,25,1465.9944,634.08734,1465.9298,634.1608,0.064575195,-0.07348633,0.09782737996564504
Camera L,2_L,26,1485.855,687.7004,1485.8392,687.6749,0.01574707,0.02545166,0.029929203600097057
Camera L,2_L,27,1303.5842,339.6094,1303.5049,339.58948,0.0793457,0.019927979,0.08180993174498953
Camera L,2_L,28,1314.9089,374.96585,1314.9146,374.88754,-0.0056152344,0.078308105,0.07850917296208804
Camera L,2_L,29,1326.9026,412.25717,1326.8817,412.32425,0.020874023,-0.06707764,0.07025051033438759
