Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,23_L,12,928.7591,611.43744,928.73944,611.3877,0.01965332,0.049743652,0.05348536199561138
Camera L,23_L,13,892.89575,584.04767,892.80066,584.0642,0.09509277,-0.016540527,0.09652059161052136
Camera L,23_L,14,857.64453,557.146,857.62756,557.18256,0.016967773,-0.03656006,0.04030562268226064
Camera L,23_L,15,822.968,530.7025,822.9468,530.68445,0.021240234,0.018066406,0.027884450704558816
Camera L,23_L,16,788.83234,504.69,788.8441,504.66595,-0.011779785,0.024047852,0.026778022763069
Camera L,23_L,17,755.20776,479.0839,755.18176,479.12762,0.026000977,-0.04373169,0.050877415860362235
Camera L,23_L,18,1067.3156,666.336,1067.3376,666.4057,-0.022094727,-0.06970215,0.07312021908251456
Camera L,23_L,19,1029.7932,638.1012,1029.8547,638.09735,-0.061523438,0.0038452148,0.061643483345857425
Camera L,23_L,20,992.9972,610.4227,993.0042,610.39343,-0.007019043,0.029296875,0.03012596635732676
Camera L,23_L,21,956.8847,583.2684,956.8129,583.2511,0.071777344,0.01727295,0.07382643056872776
Camera L,23_L,22,921.4145,556.60675,921.4218,556.5518,-0.0073242188,0.05493164,0.055417770814532065
Camera L,23_L,23,886.5471,530.4079,886.4965,530.413,0.050598145,-0.005126953,0.05085723034487045
Camera L,23_L,24,852.24603,504.64377,852.2827,504.604,-0.03668213,0.039764404,0.05409978216388743
Camera L,23_L,25,818.47815,479.28885,818.421,479.2991,0.057128906,-0.010253906,0.05804183424655942
Camera L,23_L,26,785.21387,454.32022,785.2567,454.37415,-0.04284668,-0.05392456,0.0688744959358456
Camera L,23_L,27,1093.2515,636.93005,1093.255,636.94073,-0.003540039,-0.010681152,0.011252506029966036
Camera L,23_L,28,1056.1465,609.46893,1056.1605,609.4744,-0.014038086,-0.005493164,0.015074571576206628
Camera L,23_L,29,1019.7535,582.5348,1019.7886,582.5442,-0.035095215,-0.009399414,0.03633212200859307
Camera L,23_L,30,984.03186,556.0974,983.99963,556.0777,0.032226562,0.019714355,0.037778395176537596
Camera L,23_L,31,948.942,530.1273,948.9509,530.19763,-0.008911133,-0.0703125,0.07087493170544867
Camera L,23_L,32,914.44604,504.5964,914.47754,504.56125,-0.03149414,0.03515625,0.04720002974331452
Camera L,23_L,33,880.5085,479.47855,880.44574,479.47937,0.06274414,-0.0008239746,0.06274955073087511
Camera L,23_L,34,847.0969,454.7498,847.131,454.75482,-0.034057617,-0.0050354004,0.03442784549727447
Camera L,23_L,35,814.1822,430.38867,814.13696,430.42444,0.04522705,-0.0357666,0.05766052297456548
Camera L,23_L,36,1118.3077,608.57,1118.3204,608.5637,-0.0126953125,0.006286621,0.014166600306673395
Camera L,23_L,37,1081.608,581.843,1081.571,581.8066,0.036987305,0.03643799,0.051920975511159956
Camera L,23_L,38,1045.6061,555.6157,1045.6288,555.6575,-0.022705078,-0.041748047,0.0475228365161377
Camera L,23_L,39,1010.2632,529.8598,1010.2497,529.8295,0.0134887695,0.030273438,0.03314253945511093
Camera L,23_L,40,975.54175,504.54745,975.5027,504.5382,0.0390625,0.009246826,0.04014203159411432
