Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera R,14_R,48,1248.564,292.70264,1248.5396,292.74286,0.024414062,-0.040222168,0.047051771952395634
Camera R,14_R,49,1194.011,262.44263,1194.0552,262.4323,-0.044189453,0.010314941,0.04537737083283851
Camera R,14_R,50,1140.7377,232.862,1140.7092,232.91461,0.028442383,-0.052612305,0.059808224723553946
Camera R,14_R,51,1088.6908,203.93115,1088.6942,203.89732,-0.0034179688,0.033828735,0.03400096830771193
Camera R,14_R,52,1037.8182,175.6255,1037.7631,175.66556,0.05517578,-0.04005432,0.06818148935360166
Camera R,14_R,53,988.07227,147.92581,988.0637,147.91057,0.008544922,0.01524353,0.017475151073654816
Camera R,16_R,0,1436.2352,934.1106,1436.2245,934.1144,0.0107421875,-0.0037841797,0.011389232116013961
Camera R,16_R,1,1363.9849,890.5076,1363.9424,890.4674,0.04248047,0.040222168,0.05850139332807438
Camera R,16_R,2,1293.5001,847.91156,1293.4783,847.89056,0.021850586,0.020996094,0.03030320211744729
Camera R,16_R,3,1224.8333,806.37506,1224.7977,806.3849,0.03552246,-0.00982666,0.036856593451954356
Camera R,16_R,4,1157.9865,765.91766,1157.9712,765.90247,0.015258789,0.015197754,0.02153607130952177
Camera R,16_R,5,1092.921,726.5303,1092.8862,726.5482,0.03479004,-0.017944336,0.03914519140594576
Camera R,16_R,6,1029.5698,688.1825,1029.5605,688.2553,0.009277344,-0.07281494,0.07340357483836386
Camera R,16_R,7,967.8491,650.8301,967.86395,650.82135,-0.014831543,0.008728027,0.017209100155066947
Camera R,16_R,8,907.6699,614.42206,907.68506,614.4455,-0.015136719,-0.0234375,0.027900477787425104
Camera R,16_R,9,1469.334,867.3521,1469.322,867.3146,0.011962891,0.03753662,0.039396810470410805
Camera R,16_R,10,1398.084,825.4719,1398.1324,825.4484,-0.048461914,0.023498535,0.0538585022915663
Camera R,16_R,11,1328.5411,784.5704,1328.5242,784.53674,0.016967773,0.03363037,0.03766838455959674
Camera R,16_R,12,1260.7585,744.6857,1260.7625,744.6564,-0.00390625,0.02935791,0.02961664528276197
Camera R,16_R,13,1194.7407,705.8269,1194.6888,705.81213,0.051879883,0.014770508,0.05394154374577962
Camera R,16_R,14,1130.4532,667.9785,1130.4757,667.9856,-0.022460938,-0.007080078,0.023550397441126334
Camera R,16_R,15,1067.834,631.10767,1067.8629,631.1231,-0.028930664,-0.0154418945,0.03279383219161002
Camera R,16_R,16,1006.80396,595.1702,1006.76917,595.19525,0.03479004,-0.025024414,0.04285519941782705
Camera R,16_R,17,947.278,560.1174,947.28796,560.165,-0.0099487305,-0.047607422,0.04863582892810673
Camera R,16_R,18,1501.0859,803.25433,1501.2427,803.33124,-0.15673828,-0.0769043,0.1745885439742317
Camera R,16_R,19,1430.8357,763.0179,1430.8691,762.88776,-0.033447266,0.13012695,0.13435677693136752
Camera R,16_R,20,1362.2294,723.7263,1362.2461,723.6936,-0.016723633,0.032714844,0.036741541829844876
Camera R,16_R,21,1295.3206,685.4057,1295.327,685.40656,-0.0064697266,-0.0008544922,0.006525911330382646
Camera R,16_R,22,1230.1177,648.0569,1230.1553,648.11346,-0.037597656,-0.05657959,0.06793256761215596
Camera R,16_R,23,1166.5917,611.6601,1166.5878,611.648,0.00390625,0.012084961,0.012700593290212898
Camera R,16_R,24,1104.6864,576.18097,1104.671,576.1893,0.015380859,-0.008300781,0.017477808915132266
Camera R,16_R,25,1044.329,541.5767,1044.3324,541.5265,-0.0034179688,0.050231934,0.05034808499777212
Camera R,16_R,26,985.43933,507.80127,985.4579,507.744,-0.018554688,0.057281494,0.06021167660184453
Camera R,16_R,27,1531.5715,741.6725,1531.5298,741.6319,0.041748047,0.04058838,0.058226419434089516
Camera R,16_R,28,1462.321,702.99585,1462.3492,702.9836,-0.028198242,0.012268066,0.03075136282854899
Camera R,16_R,29,1394.6466,665.22736,1394.6218,665.2335,0.024780273,-0.006164551,0.025535536766864292
Camera R,16_R,30,1328.6035,628.3831,1328.5985,628.41864,0.005004883,-0.03552246,0.0358733059951696
Camera R,16_R,31,1264.2041,592.45776,1264.198,592.48816,0.0061035156,-0.030395508,0.03100225472710602
